"question","options","answer"
"下面哪些属于本科生可以申请缓考的条件（）","疾病，提供医院证明 | 特殊正当原因 | 考试前提出申请 | 仅仅因为复习没到位","疾病，提供医院证明 | 特殊正当原因 | 考试前提出申请"
"有下列哪些情况，学校可以撤销已经授予的学士学位（）","论文代写、剽窃伪造成果 | 冒用他人身份取得入学资格 | 严重违法取得学历 | 正常完成学业毕业","论文代写、剽窃伪造成果 | 冒用他人身份取得入学资格 | 严重违法取得学历"
"学生办理退宿后，一年内不得重新申请住宿。","对 | 错","对"
"学生已修读的必修课中，课程考核不及格的学分数累计达到30学分的，由学院劝其退学。","对 | 错","对"
"学生对处分决定不服的，可以在接到决定书之日起15日内提出申诉。","对 | 错","错"
"根据《普通高等学校学生管理规定》，新生可以申请保留入学资格，保留入学资格期间具有学籍。","对 | 错","错"
"学历证书和学位证书遗失或者损坏，经本人申请，学校核实后可以出具相应的证明书，证明书与原证书具有同等效力。","对 | 错","对"
"学生申请转专业，应当在入学后第二学年结束前提出。","对 | 错","错"
"休学创业学生的修业年限在原有学制基础上可申请延长2至4年。","对 | 错","对"
"学生休学期间不保留宿舍床位，离校前必须到公寓管理科办理退宿手续。","对 | 错","对"
"学生可以分阶段完成学业，除另有规定外，应当在学校规定的最长学习年限（含休学和保留学籍）内完成学业。","对 | 错","对"
"除开除学籍处分以外，给予学生处分一般应当设置6到12个月期限。","对 | 错","对"
"学生在校期间只能转一次专业（包括进入转专业公示名单者）。","对 | 错","对"
"学生参加创新创业、社会实践等活动，可以折算为学分，计入学业成绩。","对 | 错","对"
"学士学位证书遗失或者损坏，经本人申请，学校核实后出具相应的证明书，证明书与原证书具有同等效力。","对 | 错","对"
"学生个人累计3次宿舍卫生被评为不合格的，当学期不得推优入党。","对 | 错","对"
"学生宿舍内严禁私拉电线和使用明火。","对 | 错","对"
"第三次被学校书面退学劝告者，予以退学。","对 | 错","对"
"毕业时，学生体质健康测试成绩达不到60分者按结业处理。","对 | 错","对"
"被开除学籍的学生，由学校发给学习证明。学生按学校规定期限离校，档案由学校退回其家庭所在地。","对 | 错","对"
"新生保留入学资格期间具有学籍。","对 | 错","错"
"学生休学期间享受在校学习学生待遇。","对 | 错","错"
"学校坚持教育与宗教相分离原则。任何组织和个人不得在学校进行宗教活动。","对 | 错","对"
"学生在校期间依法享有申请奖学金、助学金及助学贷款的权利。","对 | 错","对"
"学校应当按照国家有关规定为家庭经济困难学生提供教育救助，完善学生资助体系，保证学生不因家庭经济困难而放弃学业。","对 | 错","对"
"学生因退学等情况中止学业，其在校学习期间所修课程及已获得学分，应当予以清除。","对 | 错","错"
"休学创业申请程序为：每学期期末结束前第2周，学生提出申请，根据申请条件填写《福州大学本科生休学创业申请表》，并提供相应的佐证材料提交学生所在学院，所在学院根据其提交的申请材料对其创业项目、创业能力等进行初步审查，并将学院初审意见于期末结束前第2周上报教务处。","对 | 错","错"
"接受学校退学劝告者，予以退学。","对 | 错","对"
"学生休学期间，享受在校学习学生的待遇。","对 | 错","错"
"思想政治理论课、体育课可以申请免修。","对 | 错","错"
"补考、重修得到的成绩，学校学籍档案会进行标注。","对 | 错","对"
"心理疾病学生复学，只需要普通医院开证明即可。","对 | 错","错"
"学生可以私自调换、出租宿舍床位。","对 | 错","错"
"学生对学校的处理或者处分决定有异议的，可以在接到决定书之日起()日内提出书面申诉。","5 | 15 | 30 | 10","10"
"学生未经批准连续()未参加学校规定的教学活动的，予以退学。","两周 | 一周 | 三天 | 一个月","两周"
"福州大学“三种精神”不包括以下哪一项？()","以张孤梅同志为代表的艰苦奋斗的创业精神 | 以卢嘉锡先生为代表的严谨求实的治学精神 | 以魏可镁院士为代表的勇于拼搏的奉献精神 | 以王亚南先生为代表的自强不息的科学精神","以王亚南先生为代表的自强不息的科学精神"
"根据《福州大学学生管理规定》，四年制本科学生的在校最长修业年限为()。","五年 | 六年 | 七年 | 八年","六年"
"学校对学生作出处分，应当出具处分决定书，处分决定书应当包括()。","学生的基本信息 | 处分的事实和证据 | 处分的种类、依据、期限 | 以上都是","以上都是"
"福州大学四年制本科学生在校最长修业年限为（）。","四年 | 五年 | 六年 | 七年","六年"
"学生严重违反考核纪律或者作弊的，该课程考核成绩记为（）。","0分 | 无效 | 缺考 | 不及格","无效"
"学生在宿舍内饲养宠物，经劝阻无效者，给予（）处分。","警告 | 严重警告 | 记过 | 留校察看","警告"
"四年制本科学生的最长修业年限为（）。","五年 | 六年 | 七年 | 八年","六年"
"学生对第一次修读的已及格课程成绩不满意，可在每学期开学后（）内书面申请重新修读。","第一周 | 第二周 | 第三周 | 第四周","第二周"
"学生已修读的必修课中，课程考核不及格的学分数累计达到（）学分，给予学业危机警告。","10 | 20 | 25 | 30","20"
"优秀学生综合奖学金三等奖学金评定标准为学期综合测评名次在本专业学生前（）。","20% | 30% | 40% | 50%","40%"
"优秀学生综合奖学金二等奖的金额为每学期（）元。","500 | 1000 | 1500 | 2000","1000"
"学生在接到学校处理或者处分决定书之日起（）日内，可以向学校学生申诉处理委员会提出书面申诉。","5 | 10 | 15 | 20","10"
"学位评定委员会组成人员应当为不少于（）人的单数。","五 | 七 | 九 | 十一","九"
"在留校察看期内休学的，留校察看期不包含休学时间。有立功表现或显著进步者，可申请提前解除处分，但原则上只能提前（）个月。","6 | 5 | 4 | 3","3"
"新生和在校学生应征参加中国人民解放军（含中国人民武装警察部队）的，学校应保留其入学资格或者学籍至退役后（）。","1年 | 2年 | 3年 | 5年","2年"
"在一学期内请病假时间累计超过全学期学习周数的（），按休学处理。","1/3 | 1/2 | 2/3 | 1/4","1/2"
"留校察看处分的察看期为（）。","6个月 | 9个月 | 12个月 | 18个月","12个月"
"一学期累计旷课达10学时者，给予（）处分。","警告 | 严重警告 | 记过 | 留校察看","警告"
"上一学期平均学分绩点达到（）及以上，本科生才可以申请课程免听","2.5 | 3.0 | 3.5 | 4.0","3.0"
"以下哪类课程不允许申请免听、免修（）","专业选修课 | 思想政治理论课 | 通识选修课 | 专业基础课","思想政治理论课"
"学生对学校复查决定不服，可以在收到复查决定书（）日内向省级教育行政部门书面申诉","10 | 15 | 20 | 30","15"
"学生在校期间依法应当履行的义务有（）。","遵守宪法、法律、法规 | 恪守学术道德，完成规定学业 | 按规定缴纳学费及有关费用 | 可以拒绝参加集体教学活动","遵守宪法、法律、法规 | 恪守学术道德，完成规定学业 | 按规定缴纳学费及有关费用"
"学生有哪些情况，不具备获得奖学金资格（评定学期）（）。","受警告以上处分且在处分期限内 | 休学保留学籍 | 有必修课不及格 | 志愿活动表现突出","受警告以上处分且在处分期限内 | 休学保留学籍 | 有必修课不及格"
"学生休学期间，下面说法正确的是（）。","学校保留学籍 | 不享受在校学生待遇 | 需要按规定办理离校手续 | 可以继续参加校内评奖评优","学校保留学籍 | 不享受在校学生待遇 | 需要按规定办理离校手续"
"学生举行大型集会游行示威活动（）。","应当按法律程序获得批准 | 可以直接在校内组织 | 未经批准学校可以劝阻制止 | 不受学校管理约束","应当按法律程序获得批准 | 未经批准学校可以劝阻制止"
"学生参加勤工助学活动，下列做法正确的有()","遵守法律、法规以及学校、用工单位的管理制度 | 保证不因参加勤工助学而影响学习 | 履行勤工助学活动的有关协议 | 以赚钱为目的，可以占用上课时间","遵守法律、法规以及学校、用工单位的管理制度 | 保证不因参加勤工助学而影响学习 | 履行勤工助学活动的有关协议"
"根据《福州大学勤工助学管理办法》，勤工助学岗位按性质可分为()。","固定岗位 | 临时岗位 | 项目型岗位 | 校外岗位","固定岗位 | 临时岗位 | 项目型岗位"
"根据《福州大学学生住宿管理办法》，以下哪些行为属于违规行为？","留宿非本宿舍成员 | 将电动车电池带入公寓楼内充电 | 在宿舍门口堆放杂物 | 按时归寝","留宿非本宿舍成员 | 将电动车电池带入公寓楼内充电 | 在宿舍门口堆放杂物"
"关于重新学习课程成绩绩点计算，以下说法x的有（）。","第一次重新学习课程按正常成绩绩点计算为1-2.3的记为1 | 第一次重新学习课程按正常成绩绩点计算为2.7-3.3的记为2 | 第一次重新学习课程按正常成绩绩点计算为3.7-4的记为3 | 第二次及以后重新学习课程的成绩绩点均记为1","第一次重新学习课程按正常成绩绩点计算为1-2.3的记为1 | 第一次重新学习课程按正常成绩绩点计算为2.7-3.3的记为2 | 第一次重新学习课程按正常成绩绩点计算为3.7-4的记为3 | 第二次及以后重新学习课程的成绩绩点均记为1"
